"location","network","station","location","channel","start","end"
"JP-JOW","JP","JOW","--","BHZ","",""
"GT-VNDA","GT","VNDA","00","BHZ","",""
"GE-SNAA","GE","SNAA","--","BHZ","",""
"NZ-KHZ","NZ","KHZ","10","HHZ","",""
"San Pablo, Spain","IU","PAB","00","BHZ","",""
"Qiongzhong, Hainan, China","IC","QIZ","10","HHZ","",""
"Lusaka, Zambia","IU","LSZ","10","BHZ","",""
"Pinon Flat, California, USA","II","PFO","10","BHZ","",""
"Mahe, Seychelles","II","MSEY","10","BHZ","",""
"Glen Almond, Quebec, Canada","CN","GAC","--","BHZ","",""
"Casey, Antarctica","IU","CASY","10","BHZ","",""
"Greyslake, IL","TA","L44A","--","BHZ","","2019-02-01"
"Greyslake, IL","NW","L44A","00","HHZ","2019-02-01",""

